Date,Epoch,Samples,Time,hidden loss,backbone loss,value loss,policy loss,state loss,reward loss,model
2021-11-26 18:19:56.839236,0,84,4.338594198226929,1.236887276172638,2.4827550252278647,0.8158958256244659,0.0023010872407919,1.349797699186537,0.10358625694385,skills/chess/data/new_param.json
2021-11-26 18:20:01.026861,1,84,8.526219129562378,0.8661229875352647,2.2318855921427407,0.7184097766876221,0.0022885092637605,1.2796409395005968,0.0440395837649703,skills/chess/data/new_param.json
2021-11-26 18:20:05.224431,2,84,12.723788022994995,0.7382131351364983,2.036182708210416,0.6457866165373061,0.0022615904712842,1.3749848339292738,0.0420213476237323,skills/chess/data/new_param.json
2021-11-26 18:20:09.528695,3,84,17.028053998947144,0.6350507901774513,1.984553058942159,0.616324437989129,0.0022578176317943,1.327504528893365,0.0124085745256808,skills/chess/data/new_param.json
2021-11-26 18:20:13.737177,4,84,21.236534118652344,0.6101291610134972,1.9720391697353787,0.6955863336722056,0.0022484406104518,1.3716575569576688,0.0163723638074265,skills/chess/data/new_param.json
2021-11-26 18:20:17.964536,5,84,25.463895082473755,0.5001998444398245,1.872674994998508,0.5768803656101227,0.0022266005786756,1.346310059229533,0.0088273446179098,skills/chess/data/new_param.json
2021-11-26 18:20:22.303809,6,84,29.80316591262817,0.6384677853849199,1.9377929899427624,0.4141581836673949,0.0022094930884324,1.319863478342692,0.0065443423680133,skills/chess/data/new_param.json
2021-11-26 18:20:26.650266,7,84,34.149625062942505,0.5827812155087789,1.866712384753757,0.3814192482580741,0.0021923592883265,1.2523538404040866,0.0074146375991404,skills/chess/data/new_param.json
2021-11-26 18:20:30.897845,8,84,38.39720296859741,0.6902549531724718,2.008401751518249,0.5156647662321726,0.0021777372910744,1.329052752918667,0.0040369424192855,skills/chess/data/new_param.json
2021-11-26 18:20:35.176880,9,84,42.67623925209045,0.556050717830658,1.8528685172398884,0.5378174053298103,0.0021527631518741,1.3155789110395644,0.0076930453991129,skills/chess/data/new_param.json
2021-12-03 20:17:16.634452,0,53,0.794152021408081,1.148796796798706,2.15003494421641,1.0125453174114227,0.002292487071827,0.9572719931602478,0.1003077141940593,reward
2021-12-03 20:17:17.364000,1,53,1.523695945739746,0.9006981551647186,1.89941010872523,0.7915592789649963,0.0022832913091406,0.9821369349956512,0.0548655514915784,reward
2021-12-03 20:17:18.096374,2,53,2.256070852279663,0.7249644547700882,1.6173001527786257,0.6841002901395162,0.0022781532413015,0.9849344591299692,0.0272208155753711,reward
2021-12-03 20:17:18.813843,3,53,2.9735360145568848,0.6678047527869543,1.6461206674575806,0.6307007744908333,0.0022664242812121,1.0034138560295105,0.0257334736331055,reward
2021-12-03 20:17:19.546347,4,53,3.706045866012573,0.7770308554172516,1.720726529757182,0.5694247782230377,0.0022606461619337,0.9564355512460072,0.012805924595644,reward
2021-12-03 20:17:20.289615,5,53,4.449311017990112,0.6461062729358673,1.6101290384928386,0.6033105850219727,0.0022512124463294,0.9305063684781392,0.0326217813417315,reward
2021-12-03 20:17:21.033971,6,53,5.193665027618408,0.7269654969374338,1.689644952615102,0.4953602949778239,0.0022405491520961,0.9828190207481384,0.0137425896245986,reward
2021-12-03 20:17:21.757923,7,53,5.917616844177246,0.6466414133707682,1.626870294411977,0.5344589998324712,0.0022277396249895,1.0062985916932423,0.0312428412338097,reward
2021-12-03 20:17:22.488620,8,53,6.648313760757446,0.4462497377147277,1.3916921019554138,0.4952710755169391,0.0022182868172725,0.9331686894098916,0.0255102636292576,reward
2021-12-03 20:17:23.212746,9,53,7.37243914604187,0.521287590265274,1.4310758312543232,0.4613619521260261,0.0022166571191822,0.9314233561356864,0.0080815031736468,reward
2021-12-03 20:37:09.387194,0,97,1.3600409030914309,1.260251384973526,2.702903628349304,0.8464006096124649,0.0022913107415661,1.4725285410881042,0.0656832071952521,reward
2021-12-03 20:37:10.658421,1,97,2.631266832351685,0.8490381121635437,2.376772582530976,0.7504023373126983,0.0022792808013036,1.5897857189178466,0.0273324544774368,reward
2021-12-03 20:37:11.968866,2,97,3.94170880317688,0.6800675630569458,2.260739123821258,0.5905866682529449,0.0022578215459361,1.6364648818969727,0.0272655258886516,reward
2021-12-03 20:37:13.227688,3,97,5.200531959533691,0.6271601498126984,2.2083882331848144,0.5980529844760895,0.0022411882644519,1.5780549764633178,0.0205257332650944,reward
2021-12-03 20:37:14.496024,4,97,6.46886682510376,0.7316281706094742,2.3687309980392457,0.6943529486656189,0.002211467991583,1.5935015678405762,0.0112788364989683,reward
2021-12-03 20:37:15.795779,5,97,7.7686238288879395,0.4919376581907272,2.0367645263671874,0.6329766184091568,0.002195432037115,1.5769757270812987,0.0129144891834585,reward
2021-12-03 20:37:17.067549,6,97,9.040392875671388,0.6051801085472107,2.1689138174057008,0.5932962357997894,0.0021834833314642,1.6070700526237487,0.0099889962468296,reward
2021-12-03 20:37:18.327033,7,97,10.299879789352415,0.5464077085256577,2.157928323745728,0.5554740577936172,0.0021487687714397,1.574830138683319,0.0079586213978473,reward
2021-12-03 20:37:19.588685,8,97,11.561529874801636,0.5907264471054077,2.181865656375885,0.6163875013589859,0.0021276235114783,1.557651114463806,0.0044108544636401,reward
2021-12-03 20:37:20.844749,9,97,12.817592859268188,0.6209762513637542,2.1915128588676454,0.5950351417064667,0.0021041171625256,1.5782190322875975,0.0038397638243623,reward
2021-12-03 20:44:42.312991,0,89,1.1943299770355225,1.0104017191463046,2.6144980589548745,0.9211031595865884,0.0022902446540279,1.5992173353830974,0.0486266346027453,reward
